analysis_id,session_id,scenario_id,scenario_family,data_source,capture_scenario,risk_label,encryption_plaintext,encryption_starttls,encryption_implicit,deprecated_tls,weak_cipher,expired_cert,not_yet_valid_cert,weak_key,auth_before_tls,tls_upgrade_failed,pfs_missing,self_signed,protocol_smtp,protocol_imap,protocol_pop3,critical_count,high_count,medium_count,low_count,tls_handshake_observed,certificate_observed,starttls_command_observed,authentication_observed,session_truncated,asymmetric_capture
ANALYSIS_PARTIAL_FULL_SESSION_0000,partial_full_session_0000,ANALYSIS_PARTIAL_FULL_SESSION_0000_partial_full_session_0000,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,CRITICAL,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0001,partial_full_session_0001,ANALYSIS_PARTIAL_FULL_SESSION_0001_partial_full_session_0001,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,MEDIUM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0002,partial_full_session_0002,ANALYSIS_PARTIAL_FULL_SESSION_0002_partial_full_session_0002,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,CRITICAL,1.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0003,partial_full_session_0003,ANALYSIS_PARTIAL_FULL_SESSION_0003_partial_full_session_0003,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0004,partial_full_session_0004,ANALYSIS_PARTIAL_FULL_SESSION_0004_partial_full_session_0004,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,MEDIUM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0005,partial_full_session_0005,ANALYSIS_PARTIAL_FULL_SESSION_0005_partial_full_session_0005,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0006,partial_full_session_0006,ANALYSIS_PARTIAL_FULL_SESSION_0006_partial_full_session_0006,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0007,partial_full_session_0007,ANALYSIS_PARTIAL_FULL_SESSION_0007_partial_full_session_0007,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0008,partial_full_session_0008,ANALYSIS_PARTIAL_FULL_SESSION_0008_partial_full_session_0008,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0009,partial_full_session_0009,ANALYSIS_PARTIAL_FULL_SESSION_0009_partial_full_session_0009,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,CRITICAL,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0010,partial_full_session_0010,ANALYSIS_PARTIAL_FULL_SESSION_0010_partial_full_session_0010,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,LOW,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0011,partial_full_session_0011,ANALYSIS_PARTIAL_FULL_SESSION_0011_partial_full_session_0011,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0012,partial_full_session_0012,ANALYSIS_PARTIAL_FULL_SESSION_0012_partial_full_session_0012,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,CRITICAL,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0013,partial_full_session_0013,ANALYSIS_PARTIAL_FULL_SESSION_0013_partial_full_session_0013,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,MEDIUM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0014,partial_full_session_0014,ANALYSIS_PARTIAL_FULL_SESSION_0014_partial_full_session_0014,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0015,partial_full_session_0015,ANALYSIS_PARTIAL_FULL_SESSION_0015_partial_full_session_0015,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,LOW,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0016,partial_full_session_0016,ANALYSIS_PARTIAL_FULL_SESSION_0016_partial_full_session_0016,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,HIGH,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0017,partial_full_session_0017,ANALYSIS_PARTIAL_FULL_SESSION_0017_partial_full_session_0017,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,CRITICAL,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0018,partial_full_session_0018,ANALYSIS_PARTIAL_FULL_SESSION_0018_partial_full_session_0018,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,LOW,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0019,partial_full_session_0019,ANALYSIS_PARTIAL_FULL_SESSION_0019_partial_full_session_0019,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,MEDIUM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0020,partial_full_session_0020,ANALYSIS_PARTIAL_FULL_SESSION_0020_partial_full_session_0020,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,CRITICAL,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANALYSIS_PARTIAL_FULL_SESSION_0021,partial_full_session_0021,ANALYSIS_PARTIAL_FULL_SESSION_0021_partial_full_session_0021,PARTIAL_CAPTURE_FULL_SESSION,PARTIAL_CAPTURE_CHALLENGE,FULL_SESSION,LOW,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
