analysis_id,session_id,scenario_id,scenario_family,data_source,capture_scenario,encryption_plaintext,encryption_starttls,encryption_implicit,deprecated_tls,weak_cipher,expired_cert,not_yet_valid_cert,weak_key,auth_before_tls,tls_upgrade_failed,pfs_missing,self_signed,protocol_smtp,protocol_imap,protocol_pop3,critical_count,high_count,medium_count,low_count,tls_handshake_observed,certificate_observed,starttls_command_observed,authentication_observed,session_truncated,asymmetric_capture,risk_label
demo-001,smtp-002,demo-001_smtp-002,DEMO_CAPTURE,DEMO,,0.0,1.0,0.0,,,,,,1.0,1.0,,,1.0,0.0,0.0,1,1,0,0,,,,,,,CRITICAL
synthetic-00007,imap-000027,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0001,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,1.0,0.0,1,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00008,smtp-000028,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0002,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00008,pop3-000031,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0005,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00009,imap-000032,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE-0006,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,1.0,,,0.0,1.0,0.0,0,2,0,0,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00009,pop3-000033,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0007,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00016,smtp-000061,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0008,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,0.0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00016,smtp-000063,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES-0010,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,2,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00017,pop3-000064,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0011,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00017,pop3-000066,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE-0013,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,1.0,,,0.0,0.0,1.0,2,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00024,smtp-000094,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0015,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,0.0,0.0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00024,smtp-000095,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0016,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00025,pop3-000097,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0018,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00025,imap-000098,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0019,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,1,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00025,smtp-000099,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE-0020,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,1.0,,,1.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00026,pop3-000100,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0021,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,1,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00026,pop3-000101,POSTURE_COMPOUNDING_FAILURES_NO_CRIT_COUNT-0022,POSTURE_COMPOUNDING_FAILURES_NO_CRIT_COUNT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,2,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00033,imap-000128,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0023,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,1.0,0.0,0,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00033,smtp-000129,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0024,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,1,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00033,smtp-000130,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES-0025,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,0,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00033,pop3-000131,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0026,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00034,smtp-000132,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0027,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00034,imap-000133,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE-0028,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,1.0,,,0.0,1.0,0.0,1,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00034,imap-000134,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0029,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00038,imap-000150,POSTURE_DEPRECATED_TLS_LEGACY-0030,POSTURE_DEPRECATED_TLS_LEGACY,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00041,imap-000162,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0032,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,1.0,0.0,1,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00042,pop3-000164,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0034,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00042,pop3-000165,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0035,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00042,smtp-000167,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0037,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00050,smtp-000196,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0039,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00050,smtp-000199,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0042,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
